record_id,query_set,query_string,search_date,title,authors,year,venue,domain_context,participant_type,includes_neurodivergent_sample,neurodivergent_group_details,input_signals,ai_method,prediction_target,evaluation_metrics,key_results,relevance_label,transfer_value_to_exp1A,limitations,decision,notes,link
A001,Set A,"neurodivergent artificial intelligence learning user modeling",2026-03-30,"A scoping review of inclusive and adaptive human-AI interaction design for neurodivergent users","Z Xu et al.",2025,"Disability and Rehabilitation: Assistive Technology",HCI/Accessibility,Review,Yes,"Neurodivergent users (broad)","Literature synthesis",Review synthesis,"Design patterns and gaps","Scoping review framework",High,"可用于定义研究空白和伦理边界",Not primary empirical,keep,"优先作为综述锚点",https://www.tandfonline.com/doi/abs/10.1080/17483107.2025.2579822
A002,Set A,"neurodivergent artificial intelligence learning user modeling",2026-03-30,"Artificial Intelligence as Agents to Support Neurodivergent Creative and Critical Thinking Modules","H Leung",2024,"SFU Thesis",Education,Students,Yes,"Neurodivergent learners","Learning interaction data (project context)","AI agent ecosystem",Learning support,"Prototype-oriented evaluation",Medium,"可借鉴实验任务设计",Thesis format,maybe,"待确认可复现实验细节",https://summit.sfu.ca/item/38178
A003,Set A,"neurodivergent artificial intelligence learning user modeling",2026-03-30,"Beyond the One-Size-Fits-All: A Systematic Review of Personalized and Gamified e-Learning for Neurodivergent Learners","PT Sheejamol et al.",2025,"Electronic Journal of e-Learning",E-learning,Review,Yes,"Neurodivergent learners","Literature synthesis",Systematic review,"Personalization/gamification impact","Review evidence",High,"可支持个性化学习变量选择",Review not direct model benchmark,keep,"用于变量筛选",https://academic-publishing.org/index.php/ejel/article/view/4051
B001,Set B,"user preference machine learning adaptive interface",2026-03-30,"Adapting user interfaces with model-based reinforcement learning","K Todi et al.",2021,"CHI",Adaptive UI,General users,No,"N/A","User interaction behavior","Model-based RL",UI adaptation,"UX/performance metrics",High,"可直接借鉴偏好驱动自适应范式",Not neurodivergent specific,keep,"Set B核心基线",https://dl.acm.org/doi/abs/10.1145/3411764.3445497
B002,Set B,"user preference machine learning adaptive interface",2026-03-30,"A comparative study on reward models for user interface adaptation with reinforcement learning","D Gaspar-Figueiredo et al.",2025,"Empirical Software Engineering",Adaptive UI,General users,No,"N/A","Interaction and feedback","RL reward modeling",Preference-aware adaptation,"Comparative reward performance",High,"可用于奖励函数设计",Domain generalization needed,keep,"可迁移到学习界面",https://link.springer.com/article/10.1007/s10664-025-10659-5
B003,Set B,"user preference machine learning adaptive interface",2026-03-30,"Adapting user experience with reinforcement learning: Personalizing interfaces based on user behavior analysis in real-time","A Khamaj et al.",2024,"Alexandria Engineering Journal",UX/Adaptive interface,General users,No,"N/A","Real-time behavior logs",RL,"Real-time personalization",UX outcomes,Medium,"可作为实时个性化参考",期刊场景需筛选适配性,maybe,"保留候选",https://www.sciencedirect.com/science/article/pii/S1110016824002874
B004,Set B,"user preference machine learning adaptive interface",2026-03-30,"Machine learning for adaptive accessible user interfaces: Overview and applications","M Kristic et al.",2025,"Applied Sciences",Accessibility/HCI,General users,Partial,"Accessible users (broad)","Literature + application examples",Review,"Adaptive accessible UI",Review evidence,Medium,"补充无障碍与可及性视角",Review not benchmark study,keep,"用于理论背景",https://www.mdpi.com/2076-3417/15/23/12538
C001,Set C,"eye tracking machine learning cognitive state learning",2026-03-30,"A machine learning approach for detecting cognitive interference based on eye-tracking data","A Rizzo et al.",2022,"Frontiers in Human Neuroscience",Cognitive state detection,60+ subjects,No,"N/A","Eye-tracking features",Machine learning,"Cognitive interference",Classification performance,High,"可直接用于眼动特征工程",Not education-specific,keep,"Set C核心证据",https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2022.806330/full
C002,Set C,"eye tracking machine learning cognitive state learning",2026-03-30,"Interpretable machine learning models for three-way classification of cognitive workload levels for eye-tracking features","M Kaczorowska et al.",2021,"Brain Sciences",Cognitive workload,Experimental participants,No,"N/A","Eye movement features",Interpretable ML,"Workload level",Three-way classification,High,"可用于可解释模型路线",Task context variability,keep,"可迁移到学习任务负荷评估",https://www.mdpi.com/2076-3425/11/2/210
C003,Set C,"eye tracking machine learning cognitive state learning",2026-03-30,"Cognitive state detection with eye tracking in the field: an experience sampling study and its lessons learned","M Langner et al.",2024,"i-com",Field setting,In-the-wild users,No,"N/A","Eye tracking + experience sampling",Supervised ML,"Cognitive states",Field-study lessons,Medium,"提供真实场景采集经验",Not education-specific,maybe,"用于实验2现场研究参考",https://www.degruyterbrill.com/document/doi/10.1515/icom-2023-0035/html
A004,Set A,"autism ADHD machine learning adaptive learning",2026-03-30,"Adaptive learning tool to enhance educational outcomes for students with inattentive attention deficit hyperactivity disorder (ADHD)","O Thawalampola et al.",2024,"IEEE (conference)",Adaptive learning/Education,Students,Yes,"ADHD (inattentive)","Learning behavior + vision-related features",Machine learning,"Adaptive learning support",Education outcome indicators,High,"可直接映射到学习任务与个性化支持",Conference paper detail needs deeper reading,keep,"Set A第二轮核心",https://ieeexplore.ieee.org/abstract/document/10850982/
A005,Set A,"autism ADHD machine learning adaptive learning scholar",2026-03-30,"Artificial intelligence enabled personalised assistive tools to enhance education of children with neurodevelopmental disorders-a review","PD Barua et al.",2022,"International Journal of Environmental Research and Public Health",Assistive education,Review,Yes,"ASD/ADHD/Dyslexia","Literature synthesis",Review synthesis,"AI-enabled assistive learning",Review evidence,High,"可用于辅助工具与变量框架整理",Review not benchmark experiment,keep,"补齐神经发育障碍教育综述",https://www.mdpi.com/1660-4601/19/3/1192
A006,Set A,"autism ADHD machine learning adaptive learning scholar",2026-03-30,"A data driven machine learning approach to differentiate between autism spectrum disorder and attention-deficit/hyperactivity disorder based on the best-practice diagnostic instruments","N Wolff et al.",2022,"Scientific Reports",Clinical/assessment,Clinical participants,Yes,"ASD and ADHD","Diagnostic assessment features",SVM and ML classification,"ASD vs ADHD differentiation",Classification metrics,Medium,"可借鉴特征选择与分类流程",Clinical diagnosis oriented,maybe,"仅作方法迁移参考",https://www.nature.com/articles/s41598-022-21719-x
B005,Set B,"learning preference AI personalized learning system",2026-03-30,"Enhancing personalized learning: AI-driven identification of learning styles and content modification strategies","MKH Kanchon et al.",2024,"International Journal of Educational Technology in Higher Education",Personalized learning,Students,No,"N/A","Learner profile + interaction data",AI-driven style identification,"Learning style and content adaptation",Learning personalization outcomes,High,"与偏好识别和内容适配高度相关",Needs detailed method validation,keep,"Set B第二轮核心",https://www.sciencedirect.com/science/article/pii/S2666307424000184
B006,Set B,"learning preference AI personalized learning system",2026-03-30,"AI-based personalized e-learning systems: Issues, challenges, and solutions","M Murtaza et al.",2022,"IEEE",E-learning,Review,No,"N/A","Literature synthesis",Review,"Personalized e-learning requirements",Review evidence,High,"可用于系统设计与风险清单",Review not direct experiment,keep,"用于设计约束与挑战",https://ieeexplore.ieee.org/abstract/document/9840390/
B007,Set B,"learning preference AI personalized learning system",2026-03-30,"A digital recommendation system for personalized learning to enhance online education: A review","D Gm et al.",2024,"IEEE",Recommendation system/Online learning,Review,No,"N/A","Learner data and recommendation context",Review,"Personalized recommendation",Review evidence,Medium,"可补充推荐系统视角",Need selection of reusable algorithm details,maybe,"保留候选用于方法段",https://ieeexplore.ieee.org/abstract/document/10445145/
C004,Set C,"interaction logs preference prediction educational technology",2026-03-30,"Predicting student outcomes using digital logs of learning behaviors: Review, current standards, and suggestions for future work","CJ Arizmendi et al.",2023,"Behavior Research Methods",Learning analytics,Students,No,"N/A","Digital learning logs",Predictive modeling review,"Student outcomes",Review + standards,High,"可直接指导实验日志特征与评估标准",Review not task-specific benchmark,keep,"Set C第二轮核心综述",https://link.springer.com/article/10.3758/s13428-022-01939-9
C005,Set C,"interaction logs preference prediction educational technology",2026-03-30,"Prediction of students' early dropout based on their interaction logs in online learning environment","AA Mubarak et al.",2022,"Interactive Learning Environments",Online learning,Students,No,"N/A","Interaction logs",Supervised ML,"Early dropout risk",Prediction performance metrics,High,"可迁移到行为信号-风险/状态推断",Outcome is dropout not cognitive state,keep,"用于日志建模与早期预警思路",https://www.tandfonline.com/doi/abs/10.1080/10494820.2020.1727529
C006,Set C,"interaction logs preference prediction educational technology",2026-03-30,"E-learning experience: Modeling students' e-learning interactions using log data","S Keskin et al.",2022,"Journal of Educational Technology and Online Learning",E-learning analytics,Students,No,"N/A","E-learning interaction logs",Modeling + EDM,"Interaction pattern inference",Modeling and relationship mining,Medium,"可用于实验日志字段设计",May require supplemental model details,maybe,"补充日志建模案例",https://dergipark.org.tr/en/pub/jetol/article/938363
